,Accuracy,Precision,Recall,F1-Score,Participant
0,0.8333333333333334,0.75,1.0,0.8571428571428571,4.0
1,1.0,1.0,1.0,1.0,5.0
2,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,6.0
3,0.6666666666666666,0.6,1.0,0.7499999999999999,7.0
4,0.6666666666666666,1.0,0.3333333333333333,0.5,8.0
5,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,9.0
6,0.5,0.0,0.0,0.0,11.0
7,0.6666666666666666,0.6,1.0,0.7499999999999999,12.0
8,1.0,1.0,1.0,1.0,13.0
9,0.5,0.5,0.6666666666666666,0.5714285714285715,16.0
10,0.8,1.0,0.6666666666666666,0.8,19.0
11,0.8333333333333334,0.75,1.0,0.8571428571428571,20.0
12,0.8333333333333334,1.0,0.6666666666666666,0.8,21.0
13,1.0,1.0,1.0,1.0,22.0
14,0.8333333333333334,1.0,0.6666666666666666,0.8,23.0
15,1.0,1.0,1.0,1.0,24.0
16,0.8,1.0,0.6666666666666666,0.8,26.0
17,0.6666666666666666,0.6,1.0,0.7499999999999999,27.0
18,1.0,1.0,1.0,1.0,28.0
19,0.3333333333333333,0.4,0.6666666666666666,0.5,29.0
20,0.2,0.3333333333333333,0.3333333333333333,0.3333333333333333,30.0
21,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,31.0
22,0.8333333333333334,0.75,1.0,0.8571428571428571,32.0
23,0.8333333333333334,1.0,0.6666666666666666,0.8,33.0
24,0.8,0.6666666666666666,1.0,0.8,34.0
25,0.8333333333333334,0.75,1.0,0.8571428571428571,35.0
